# Wavelength(um) Reflectance(%)
7.500000000000000000e-01 1.693782912850283137e-02
7.512512512512512508e-01 1.696148411734785949e-02
7.525025025025025016e-01 1.697432552825490354e-02
7.537537537537537524e-01 1.697639738907351023e-02
7.550050050050050032e-01 1.696775612455923149e-02
7.562562562562562540e-01 1.694847030355657591e-02
7.575075075075075048e-01 1.691862037984835296e-02
7.587587587587587556e-01 1.687829842718463480e-02
7.600100100100100065e-01 1.682760786898086780e-02
7.612612612612612573e-01 1.676666320315181591e-02
7.625125125125125081e-01 1.669558972252595599e-02
7.637637637637637589e-01 1.661452323126385786e-02
7.650150150150150097e-01 1.652360975768326148e-02
7.662662662662662605e-01 1.642300526387397222e-02
7.675175175175175113e-01 1.631287535246692816e-02
7.687687687687687621e-01 1.619339497090381899e-02
7.700200200200200129e-01 1.606474811353598639e-02
7.712712712712712637e-01 1.592712752186593861e-02
7.725225225225225145e-01 1.578073438322847438e-02
7.737737737737737653e-01 1.562577802819428360e-02
7.750250250250250161e-01 1.546247562696495374e-02
7.762762762762762669e-01 1.529105188501552783e-02
7.775275275275275177e-01 1.511173873822840678e-02
7.787787787787787686e-01 1.492477504775097455e-02
7.800300300300300194e-01 1.473040629479919865e-02
7.812812812812812702e-01 1.452888427561883737e-02
7.825325325325325210e-01 1.432046679680736012e-02
7.837837837837837718e-01 1.410541737119092379e-02
7.850350350350350226e-01 1.388400491444314287e-02
7.862862862862862734e-01 1.365650344262451556e-02
7.875375375375375242e-01 1.342319177081607688e-02
7.887887887887887750e-01 1.318435321301339273e-02
7.900400400400400258e-01 1.294027528344218053e-02
7.912912912912912766e-01 1.269124939945239817e-02
7.925425425425425274e-01 1.243757058614131973e-02
7.937937937937937782e-01 1.217953718285443888e-02
7.950450450450450290e-01 1.191745055170690543e-02
7.962962962962962798e-01 1.165161478826681231e-02
7.975475475475475307e-01 1.138233643453703640e-02
7.987987987987987815e-01 1.110992419437082865e-02
8.000500500500500323e-01 1.083468865145339154e-02
8.013013013013012831e-01 1.055694198997904169e-02
8.025525525525525339e-01 1.027699771815249186e-02
8.038038038038037847e-01 9.995170394639950329e-03
8.050550550550550355e-01 9.711775358094924121e-03
8.063063063063062863e-01 9.427128459881388076e-03
8.075575575575575371e-01 9.141545800115984804e-03
8.088088088088087879e-01 8.855343467148842074e-03
8.100600600600600387e-01 8.568837280602349671e-03
8.113113113113112895e-01 8.282342538084736319e-03
8.125625625625625403e-01 7.996173765694641888e-03
8.138138138138137911e-01 7.710644472431403031e-03
8.150650650650650419e-01 7.426066908624026977e-03
8.163163163163162928e-01 7.142751828490999030e-03
8.175675675675675436e-01 6.861008256940850578e-03
8.188188188188187944e-01 6.581143260722476830e-03
8.200700700700700452e-01 6.303461724031235794e-03
8.213213213213212960e-01 6.028266128677015230e-03
8.225725725725725468e-01 5.755856338916142713e-03
8.238238238238237976e-01 5.486529391048525564e-03
8.250750750750750484e-01 5.220579287878735972e-03
8.263263263263262992e-01 4.958296798136315776e-03
8.275775775775775500e-01 4.699969260949553654e-03
8.288288288288288008e-01 4.445880395462890010e-03
8.300800800800800516e-01 4.196310115685874913e-03
8.313313313313313024e-01 3.951534350657578097e-03
8.325825825825825532e-01 3.711824870008213761e-03
8.338338338338338041e-01 3.477449114995089918e-03
8.350850850850850549e-01 3.248670035086932001e-03
8.363363363363363057e-01 3.025745930166222949e-03
8.375875875875875565e-01 2.808930298415701719e-03
8.388388388388388073e-01 2.598471689950334479e-03
8.400900900900900581e-01 2.394613566252066800e-03
8.413413413413413089e-01 2.197594165459670901e-03
8.425925925925925597e-01 2.007646373561672130e-03
8.438438438438438105e-01 1.824997601534922645e-03
8.450950950950950613e-01 1.649869668467033885e-03
8.463463463463463121e-01 1.482478690694759814e-03
8.475975975975975629e-01 1.323034976986068277e-03
8.488488488488488137e-01 1.171742929787549826e-03
8.501001001001000645e-01 1.028800952553417507e-03
8.513513513513513153e-01 8.944013631672137130e-04
8.526026026026025662e-01 7.687303134607037037e-04
8.538538538538538170e-01 6.519677148297345088e-04
8.551051051051050678e-01 5.442871699401459007e-04
8.563563563563563186e-01 4.458559105115217488e-04
8.576076076076075694e-01 3.568347411604223612e-04
8.588588588588588202e-01 2.773779892789917170e-04
8.601101101101100710e-01 2.076334609186608593e-04
8.613613613613613218e-01 1.477424026432700127e-04
8.626126126126125726e-01 9.783946930955307543e-05
8.638638638638638234e-01 5.805269772750324829e-05
8.651151151151150742e-01 2.850348614714073004e-05
8.663663663663663250e-01 9.306579512671462687e-06
8.676176176176175758e-01 5.700604193345269226e-07
8.688688688688688266e-01 2.395345702701301503e-06
8.701201201201200774e-01 1.487718858487478909e-05
8.713713713713713283e-01 3.810368629665660743e-05
8.726226226226225791e-01 7.215629308963576391e-05
8.738738738738738299e-01 1.171098385471137785e-04
8.751251251251250807e-01 1.730325510979526926e-04
8.763763763763763315e-01 2.399860866326736393e-04
8.776276276276275823e-01 3.180255621166654893e-04
8.788788788788788331e-01 4.071995940909712034e-04
8.801301301301300839e-01 5.075503419468938189e-04
8.813813813813813347e-01 6.191135558570566924e-04
8.826326326326325855e-01 7.419186292411489260e-04
8.838838838838838363e-01 8.759886556417008320e-04
8.851351351351350871e-01 1.021340489881577716e-03
8.863863863863863379e-01 1.177984813371742547e-03
8.876376376376375887e-01 1.345926203435296497e-03
8.888888888888888395e-01 1.525163206510550583e-03
8.901401401401400904e-01 1.715688415094386750e-03
8.913913913913913412e-01 1.917488548283821951e-03
8.926426426426425920e-01 2.130544535773194314e-03
8.938938938938938428e-01 2.354831605161214914e-03
8.951451451451450936e-01 2.590319372421832304e-03
8.963963963963963444e-01 2.836971935391077292e-03
8.976476476476475952e-01 3.094747970121282908e-03
8.988988988988988460e-01 3.363600829953241125e-03
9.001501501501500968e-01 3.643478647156499304e-03
9.014014014014013476e-01 3.934324436987735388e-03
9.026526526526525984e-01 4.236076204016686435e-03
9.039039039039038492e-01 4.548667050570753476e-03
9.051551551551551000e-01 4.872025287147068590e-03
9.064064064064063508e-01 5.206074544644934826e-03
9.076576576576576016e-01 5.550733888269678701e-03
9.089089089089088525e-01 5.905917932960717473e-03
9.101601601601601033e-01 6.271536960199519152e-03
9.114114114114113541e-01 6.647497036051488659e-03
9.126626626626626049e-01 7.033700130300699419e-03
9.139139139139138557e-01 7.430044236535745215e-03
9.151651651651651065e-01 7.836423493049041178e-03
9.164164164164163573e-01 8.252728304411567975e-03
9.176676676676676081e-01 8.678845463590427467e-03
9.189189189189188589e-01 9.114658274476052438e-03
9.201701701701701097e-01 9.560046674691182259e-03
9.214214214214213605e-01 1.001488735855394184e-02
9.226726726726726113e-01 1.047905390007287073e-02
9.239239239239238621e-01 1.095241687585211607e-02
9.251751751751751129e-01 1.143484398779008593e-02
9.264264264264263637e-01 1.192620018545720653e-02
9.276776776776776146e-01 1.242634778804158069e-02
9.289289289289288654e-01 1.293514660575515590e-02
9.301801801801801162e-01 1.345245406059642629e-02
9.314314314314313670e-01 1.397812530636790944e-02
9.326826826826826178e-01 1.451201334785332149e-02
9.339339339339338686e-01 1.505396915905851327e-02
9.351851851851851194e-01 1.560384180042812333e-02
9.364364364364363702e-01 1.616147853495094808e-02
9.376876876876876210e-01 1.672672494307135896e-02
9.389389389389388718e-01 1.729942503632868681e-02
9.401901901901901226e-01 1.787942136964842943e-02
