# Wavelength(um) Reflectance(%)
7.500000000000000000e-01 1.580211361514517526e-03
7.512512512512512508e-01 2.390851994550986098e-03
7.525025025025025016e-01 3.338641632004410876e-03
7.537537537537537524e-01 4.403577179532283670e-03
7.550050050050050032e-01 5.563389286705780826e-03
7.562562562562562540e-01 6.794092448271916822e-03
7.575075075075075048e-01 8.070551686251216036e-03
7.587587587587587556e-01 9.367049890209668689e-03
7.600100100100100065e-01 1.065784147177801892e-02
7.612612612612612573e-01 1.191767997903383364e-02
7.625125125125125081e-01 1.312230954173376242e-02
7.637637637637637589e-01 1.424891231372273255e-02
7.650150150150150097e-01 1.527650629942883809e-02
7.662662662662662605e-01 1.618628998173464104e-02
7.675175175175175113e-01 1.696193192665537697e-02
7.687687687687687621e-01 1.758980497800770315e-02
7.700200200200200129e-01 1.805916575607651245e-02
7.712712712712712637e-01 1.836228094889869392e-02
7.725225225225225145e-01 1.849450236574211315e-02
7.737737737737737653e-01 1.845429295814869641e-02
7.750250250250250161e-01 1.824320606326234814e-02
7.762762762762762669e-01 1.786582005073739793e-02
7.775275275275275177e-01 1.732963042236559600e-02
7.787787787787787686e-01 1.664490128318687340e-02
7.800300300300300194e-01 1.582447802804046871e-02
7.812812812812812702e-01 1.488356311266464220e-02
7.825325325325325210e-01 1.383945693645408440e-02
7.837837837837837718e-01 1.271126617451867960e-02
7.850350350350350226e-01 1.151958236507519967e-02
7.862862862862862734e-01 1.028613417470252388e-02
7.875375375375375242e-01 9.033417503857135017e-03
7.887887887887887750e-01 7.784308419284649734e-03
7.900400400400400258e-01 6.561664757173744748e-03
7.912912912912912766e-01 5.387923069950182990e-03
7.925425425425425274e-01 4.284698323525717480e-03
7.937937937937937782e-01 3.272394322446921678e-03
7.950450450450450290e-01 2.369833183682466815e-03
7.962962962962962798e-01 1.593912241473232098e-03
7.975475475475475307e-01 9.592965064261841897e-04
7.987987987987987815e-01 4.781542020384993235e-04
8.000500500500500323e-01 1.599419638113981829e-04
8.013013013013012831e-01 1.124503657063011819e-05
8.025525525525525339e-01 3.567629402584727766e-05
8.038038038038037847e-01 2.338362003757217273e-04
8.050550550550550355e-01 6.033340212958175066e-04
8.063063063063062863e-01 1.138868763878347857e-03
8.075575575575575371e-01 1.832366576250413475e-03
8.088088088088087879e-01 2.673169755835684384e-03
8.100600600600600387e-01 3.648271175956544713e-03
8.113113113113112895e-01 4.742586901082134279e-03
8.125625625625625403e-01 5.939259057365742916e-03
8.138138138138137911e-01 7.219980670149579900e-03
8.150650650650650419e-01 8.565334164588177257e-03
8.163163163163162928e-01 9.955135520485165757e-03
8.175675675675675436e-01 1.136877663311070506e-02
8.188188188188187944e-01 1.278555920238222919e-02
8.200700700700700452e-01 1.418501439169655466e-02
8.213213213213212960e-01 1.554720350218286896e-02
8.225725725725725468e-01 1.685299593884219752e-02
8.238238238238237976e-01 1.808432174919887350e-02
8.250750750750750484e-01 1.922439694908907939e-02
8.263263263263262992e-01 2.025792068078041339e-02
8.275775775775775500e-01 2.117124395324015973e-02
8.288288288288288008e-01 2.195251028092930906e-02
8.300800800800800516e-01 2.259176896317689753e-02
8.313313313313313024e-01 2.308106203618008265e-02
8.325825825825825532e-01 2.341448609554402233e-02
8.338338338338338041e-01 2.358823024541045060e-02
8.350850850850850549e-01 2.360059140025295293e-02
8.363363363363363057e-01 2.345196806890849014e-02
8.375875875875875565e-01 2.314483360965464975e-02
8.388388388388388073e-01 2.268368978220271920e-02
8.400900900900900581e-01 2.207500125840450647e-02
8.413413413413413089e-01 2.132711160765661529e-02
8.425925925925925597e-01 2.045014116263391135e-02
8.438438438438438105e-01 1.945586711064900554e-02
8.450950950950950613e-01 1.835758615712100236e-02
8.463463463463463121e-01 1.716996017840838676e-02
8.475975975975975629e-01 1.590884542590192269e-02
8.488488488488488137e-01 1.459110606197110832e-02
8.501001001001000645e-01 1.323441309697113641e-02
8.513513513513513153e-01 1.185703014648214343e-02
8.526026026026025662e-01 1.047758782626509975e-02
8.538538538538538170e-01 9.114849031994547157e-03
8.551051051051050678e-01 7.787467790880284180e-03
8.563563563563563186e-01 6.513744799247579709e-03
8.576076076076075694e-01 5.311383148625285072e-03
8.588588588588588202e-01 4.197248067078637561e-03
8.601101101101100710e-01 3.187134737685793848e-03
8.613613613613613218e-01 2.295548380186760232e-03
8.626126126126125726e-01 1.535500777252037227e-03
8.638638638638638234e-01 9.183272817075556439e-04
8.651151151151150742e-01 4.535280506017824471e-04
8.663663663663663250e-01 1.486368192248400694e-04
8.676176176176175758e-01 9.119964165756938560e-06
8.688688688688688266e-01 3.830792804913178988e-05
8.701201201201200774e-01 2.373603153927874524e-04
8.713713713713713283e-01 6.052651501030374345e-04
8.726226226226225791e-01 1.138871945006818742e-03
8.738738738738738299e-01 1.832957408346717627e-03
8.751251251251250807e-01 2.680321836222156889e-03
8.763763763763763315e-01 3.671913545294135540e-03
8.776276276276275823e-01 4.796978113403334819e-03
8.788788788788788331e-01 6.043228737280709022e-03
8.801301301301300839e-01 7.397033699022737170e-03
8.813813813813813347e-01 8.843616761408800916e-03
8.826326326326325855e-01 1.036726628379478626e-02
8.838838838838838363e-01 1.195154895572576696e-02
8.851351351351350871e-01 1.357952426927138551e-02
8.863863863863863379e-01 1.523395617380140198e-02
8.876376376376375887e-01 1.689751875607161530e-02
8.888888888888888395e-01 1.855299324040578582e-02
8.901401401401400904e-01 2.018345408498267018e-02
8.913913913913913412e-01 2.177244243866941625e-02
8.926426426426425920e-01 2.330412569884793283e-02
8.938938938938938428e-01 2.476344235759250084e-02
8.951451451451450936e-01 2.613623172826811183e-02
8.963963963963963444e-01 2.740934849750105776e-02
8.976476476476475952e-01 2.857076234247040922e-02
8.988988988988988460e-01 2.960964308767795664e-02
9.001501501501500968e-01 3.051643204873345436e-02
9.014014014014013476e-01 3.128290032555337136e-02
9.026526526526525984e-01 3.190219486790264042e-02
9.039039039039038492e-01 3.236887314802995574e-02
9.051551551551551000e-01 3.267892724482508726e-02
9.064064064064063508e-01 3.282979807867732192e-02
9.076576576576576016e-01 3.282038044349051831e-02
9.089089089089088525e-01 3.265101936966939566e-02
9.101601601601601033e-01 3.232349822671547884e-02
9.114114114114113541e-01 3.184101884349581357e-02
9.126626626626626049e-01 3.120817379505173503e-02
9.139139139139138557e-01 3.043091088335793740e-02
9.151651651651651065e-01 2.951648973161715567e-02
9.164164164164163573e-01 2.847343032288724915e-02
9.176676676676676081e-01 2.731145324889582005e-02
9.189189189189188589e-01 2.604141139803751656e-02
9.201701701701701097e-01 2.467521280624423649e-02
9.214214214214213605e-01 2.322573442337041300e-02
9.226726726726726113e-01 2.170672661265673695e-02
9.239239239239238621e-01 2.013270830239191969e-02
9.251751751751751129e-01 1.851885284648330243e-02
9.264264264264263637e-01 1.688086482232965813e-02
9.276776776776776146e-01 1.523484819673026625e-02
9.289289289289288654e-01 1.359716651859155592e-02
9.301801801801801162e-01 1.198429604437945516e-02
9.314314314314313670e-01 1.041267296060831640e-02
9.326826826826826178e-01 8.898536127827596023e-03
9.339339339339338686e-01 7.457767022202214588e-03
9.351851851851851194e-01 6.105728782780063361e-03
9.364364364364363702e-01 4.857106473620463084e-03
9.376876876876876210e-01 3.725750829091495873e-03
9.389389389389388718e-01 2.724527857703976010e-03
9.401901901901901226e-01 1.865176726205741665e-03
9.414414414414413734e-01 1.158178324721541481e-03
9.426926926926926242e-01 6.126368215051989979e-04
9.439439439439438750e-01 2.361763513405531643e-04
9.451951951951951258e-01 3.485474698001790877e-05
9.464464464464463767e-01 1.309592372645879385e-05
9.476976976976976275e-01 1.736421719560241560e-04
9.489489489489488783e-01 5.175272124833063883e-04
9.502002002002001291e-01 1.044070438878282698e-03
9.514514514514514909e-01 1.750892324459004138e-03
9.527027027027027417e-01 2.633950525808383732e-03
9.539539539539539925e-01 3.687595785345775500e-03
9.552052052052052433e-01 4.904646337903419140e-03
9.564564564564564941e-01 6.276479173907903442e-03
9.577077077077077449e-01 7.793136215860761544e-03
9.589589589589589957e-01 9.443443233682484103e-03
9.602102102102102466e-01 1.121513916344611672e-02
9.614614614614614974e-01 1.309501340505369281e-02
9.627127127127127482e-01 1.506904865646358296e-02
9.639639639639639990e-01 1.712256689116224695e-02
9.652152152152152498e-01 1.924037619531124982e-02
9.664664664664665006e-01 2.140691634305539118e-02
9.677177177177177514e-01 2.360640119311383303e-02
9.689689689689690022e-01 2.582295622659170134e-02
9.702202202202202530e-01 2.804074980418645724e-02
9.714714714714715038e-01 3.024411699030793779e-02
9.727227227227227546e-01 3.241767506241313018e-02
9.739739739739740054e-01 3.454643008747718125e-02
9.752252252252252562e-01 3.661587419667292759e-02
9.764764764764765070e-01 3.861207341817601141e-02
9.777277277277277578e-01 4.052174613202681741e-02
9.789789789789790087e-01 4.233233238723140002e-02
9.802302302302302595e-01 4.403205446800793899e-02
9.814814814814815103e-01 4.560996921273188787e-02
9.827327327327327611e-01 4.705601267619331785e-02
9.839839839839840119e-01 4.836103778441525058e-02
9.852352352352352627e-01 4.951684566340285032e-02
9.864864864864865135e-01 5.051621133104568229e-02
9.877377377377377643e-01 5.135290442753778078e-02
9.889889889889890151e-01 5.202170562680377697e-02
9.902402402402402659e-01 5.251841932223164089e-02
9.914914914914915167e-01 5.283988311716223546e-02
9.927427427427427675e-01 5.298397457662478577e-02
9.939939939939940183e-01 5.294961561410192752e-02
9.952452452452452691e-01 5.273677479789890682e-02
9.964964964964965199e-01 5.234646776803111856e-02
9.977477477477477708e-01 5.178075585836644512e-02
9.989989989989990216e-01 5.104274292186829903e-02
1.000250250250250161e+00 5.013657026093431418e-02
1.001501501501501412e+00 4.906740947169544592e-02
1.002752752752752663e+00 4.784145292246305692e-02
1.004004004004003914e+00 4.646590150399190072e-02
1.005255255255255165e+00 4.494894921469749782e-02
1.006506506506506415e+00 4.329976407927595833e-02
1.007757757757757666e+00 4.152846484630488832e-02
1.009009009009008917e+00 3.964609287137950411e-02
1.010260260260260168e+00 3.766457856919564612e-02
1.011511511511511419e+00 3.559670181286524182e-02
1.012762762762762669e+00 3.345604567351101455e-02
1.014014014014013920e+00 3.125694292975526173e-02
1.015265265265265171e+00 2.901441483655601422e-02
1.016516516516516422e+00 2.674410172710798769e-02
1.017767767767767673e+00 2.446218513085495622e-02
1.019019019019018923e+00 2.218530122492628348e-02
1.020270270270270174e+00 1.993044559472338662e-02
1.021521521521521425e+00 1.771486946008080446e-02
1.022772772772772676e+00 1.555596772364486492e-02
1.024024024024023927e+00 1.347115941392047246e-02
1.025275275275275177e+00 1.147776132188866455e-02
1.026526526526526428e+00 9.592855861068267861e-03
1.027777777777777679e+00 7.833154409507568638e-03
1.029029029029028930e+00 6.214857610585192496e-03
1.030280280280280181e+00 4.753514309528045038e-03
1.031531531531531432e+00 3.463880975683722094e-03
1.032782782782782682e+00 2.359783598624611966e-03
1.034034034034033933e+00 1.453984141430787400e-03
1.035285285285285184e+00 7.580536803501705841e-04
1.036536536536536435e+00 2.822543513396883657e-04
1.037787787787787686e+00 3.543215733517193170e-05
1.039039039039038936e+00 2.492256430970663222e-05
1.040290290290290187e+00 2.564706303650636033e-04
1.041541541541541438e+00 7.341671738327758441e-04
1.042792792792792689e+00 1.460402199608487476e-03
1.044044044044043940e+00 2.435836475873183991e-03
1.045295295295295190e+00 3.659391796047879210e-03
1.046546546546546441e+00 5.128260084790911208e-03
1.047797797797797692e+00 6.837931124518839034e-03
1.049049049049048943e+00 8.782238303089487039e-03
1.050300300300300194e+00 1.095342142633073772e-02
1.051551551551551444e+00 1.334220531269189082e-02
1.052802802802802695e+00 1.593789260144536785e-02
1.054054054054053946e+00 1.872846896893817434e-02
1.055305305305305197e+00 2.170071876533320732e-02
1.056556556556556448e+00 2.484034896078319080e-02
1.057807807807807698e+00 2.813211922621229946e-02
1.059059059059058949e+00 3.155997596865579846e-02
1.060310310310310200e+00 3.510718819112313566e-02
1.061561561561561451e+00 3.875648314702825892e-02
1.062812812812812702e+00 4.249017990268275785e-02
1.064064064064063952e+00 4.629031910061448540e-02
1.065315315315315203e+00 5.013878742314228920e-02
1.066566566566566454e+00 5.401743548131820311e-02
1.067817817817817705e+00 5.790818809082341756e-02
1.069069069069068956e+00 6.179314613580999538e-02
1.070320320320320207e+00 6.565467945717860798e-02
1.071571571571571457e+00 6.947551042739394389e-02
1.072822822822822708e+00 7.323878808465494883e-02
1.074074074074073959e+00 7.692815289150599367e-02
1.075325325325325210e+00 8.052779235394165458e-02
1.076576576576576461e+00 8.402248788531477275e-02
1.077827827827827711e+00 8.739765342421761118e-02
1.079079079079078962e+00 9.063936641714527565e-02
1.080330330330330213e+00 9.373439185613394176e-02
1.081581581581581464e+00 9.667020012007887519e-02
1.082832832832832715e+00 9.943497940790703427e-02
1.084084084084083965e+00 1.020176435743206378e-01
1.085335335335335216e+00 1.044078361866037363e-01
1.086586586586586467e+00 1.065959316162912451e-01
1.087837837837837718e+00 1.085730339644654791e-01
1.089089089089088969e+00 1.103309745961444377e-01
1.090340340340340219e+00 1.118623090294965372e-01
1.091591591591591470e+00 1.131603138910739076e-01
1.092842842842842721e+00 1.142189846102469736e-01
1.094094094094093972e+00 1.150330344856847625e-01
1.095345345345345223e+00 1.155978957147654751e-01
1.096596596596596473e+00 1.159097229338355989e-01
1.097847847847847724e+00 1.159653997734292619e-01
1.099099099099098975e+00 1.157625488879096276e-01
1.100350350350350226e+00 1.152995458732042483e-01
1.101601601601601477e+00 1.145755374388160580e-01
1.102852852852852727e+00 1.135904641503309442e-01
1.104104104104103978e+00 1.123450880052011824e-01
1.105355355355355229e+00 1.108410250464532537e-01
1.106606606606606480e+00 1.090807831547394025e-01
1.107857857857857731e+00 1.070678050872946319e-01
1.109109109109108982e+00 1.048065167511474938e-01
1.110360360360360232e+00 1.023023806056154034e-01
