# Wavelength(um) Reflectance(%)
7.500000000000000000e-01 4.049849371321717737e-04
7.512512512512512508e-01 6.209317547752144645e-04
7.525025025025025016e-01 8.811479946056971577e-04
7.537537537537537524e-01 1.184381530518801824e-03
7.550050050050050032e-01 1.529159324346309346e-03
7.562562562562562540e-01 1.913799467940290782e-03
7.575075075075075048e-01 2.336424216902359494e-03
7.587587587587587556e-01 2.794973888568785033e-03
7.600100100100100065e-01 3.287221494261700905e-03
7.612612612612612573e-01 3.810787974843231254e-03
7.625125125125125081e-01 4.363157909191380489e-03
7.637637637637637589e-01 4.941695567270467868e-03
7.650150150150150097e-01 5.543661182884014431e-03
7.662662662662662605e-01 6.166227325839537463e-03
7.675175175175175113e-01 6.806495258989402920e-03
7.687687687687687621e-01 7.461511172272686232e-03
7.700200200200200129e-01 8.128282193323640645e-03
7.712712712712712637e-01 8.803792082255942897e-03
7.725225225225225145e-01 9.485016526734346004e-03
7.737737737737737653e-01 1.016893796223021507e-02
7.750250250250250161e-01 1.085255985129596895e-02
7.762762762762762669e-01 1.153292036462871817e-02
7.775275275275275177e-01 1.220710541551045698e-02
7.787787787787787686e-01 1.287226100779190197e-02
7.800300300300300194e-01 1.352560486582704037e-02
7.812812812812812702e-01 1.416443732258866779e-02
7.825325325325325210e-01 1.478615144952289719e-02
7.837837837837837718e-01 1.538824241848459409e-02
7.850350350350350226e-01 1.596831609229268714e-02
7.862862862862862734e-01 1.652409684602866927e-02
7.875375375375375242e-01 1.705343462615616437e-02
7.887887887887887750e-01 1.755431125886957461e-02
7.900400400400400258e-01 1.802484602278240158e-02
7.912912912912912766e-01 1.846330050416872953e-02
7.925425425425425274e-01 1.886808275549441138e-02
7.937937937937937782e-01 1.923775077994525212e-02
7.950450450450450290e-01 1.957101536612727496e-02
7.962962962962962798e-01 1.986674229810347220e-02
7.975475475475475307e-01 2.012395396650167034e-02
7.987987987987987815e-01 2.034183040661203049e-02
8.000500500500500323e-01 2.051970978924770941e-02
8.013013013013012831e-01 2.065708838970777006e-02
8.025525525525525339e-01 2.075362005950819044e-02
8.038038038038037847e-01 2.080911522467839350e-02
8.050550550550550355e-01 2.082353943340213218e-02
8.063063063063062863e-01 2.079701147465332425e-02
8.075575575575575371e-01 2.072980108827980963e-02
8.088088088088087879e-01 2.062232628575711921e-02
8.100600600600600387e-01 2.047515029960464764e-02
