# Wavelength(um) Reflectance(%)
7.500000000000000000e-01 1.468340994622660718e-02
7.512512512512512508e-01 1.358056718148652371e-02
7.525025025025025016e-01 1.230439034958778766e-02
7.537537537537537524e-01 1.089725854557267552e-02
7.550050050050050032e-01 9.405799167980137890e-03
7.562562562562562540e-01 7.879433264887754015e-03
7.575075075075075048e-01 6.368812376005171180e-03
7.587587587587587556e-01 4.924190165544562597e-03
7.600100100100100065e-01 3.593779990939657224e-03
7.612612612612612573e-01 2.422155951218157247e-03
7.625125125125125081e-01 1.448758785421634708e-03
7.637637637637637589e-01 7.065682812604721355e-04
7.650150150150150097e-01 2.209999614934121670e-04
7.662662662662662605e-01 9.075546292218254527e-06
7.675175175175175113e-01 7.890437563781066736e-05
7.687687687687687621e-01 4.294974684990726372e-04
7.700200200200200129e-01 1.050918476723914762e-03
7.712712712712712637e-01 1.924758007678101582e-03
7.725225225225225145e-01 3.024901241002703883e-03
7.737737737737737653e-01 4.318544886399320812e-03
7.750250250250250161e-01 5.767409403377796694e-03
7.762762762762762669e-01 7.329086636598249223e-03
7.775275275275275177e-01 8.958461699820778612e-03
7.787787787787787686e-01 1.060915067647976925e-02
7.800300300300300194e-01 1.223490172977560395e-02
7.812812812812812702e-01 1.379091553311285502e-02
7.825325325325325210e-01 1.523505046836162377e-02
7.837837837837837718e-01 1.652888778103394837e-02
7.850350350350350226e-01 1.763864097938663833e-02
7.862862862862862734e-01 1.853590159860665082e-02
7.875375375375375242e-01 1.919821965264434036e-02
7.887887887887887750e-01 1.960952153631983011e-02
7.900400400400400258e-01 1.976037089646460326e-02
7.912912912912912766e-01 1.964807929956623525e-02
7.925425425425425274e-01 1.927667372922977490e-02
7.937937937937937782e-01 1.865672745376363573e-02
7.950450450450450290e-01 1.780506003268614648e-02
7.962962962962962798e-01 1.674431158114672580e-02
7.975475475475475307e-01 1.550239623284431142e-02
7.987987987987987815e-01 1.411184030879145991e-02
8.000500500500500323e-01 1.260901218790095799e-02
8.013013013013012831e-01 1.103325334854755695e-02
8.025525525525525339e-01 9.425923445106107468e-03
8.038038038038037847e-01 7.829376407570500657e-03
8.050550550550550355e-01 6.285889090148903333e-03
8.063063063063062863e-01 4.836568526709362180e-03
8.075575575575575371e-01 3.520267887267087593e-03
8.088088088088087879e-01 2.372544257393449305e-03
8.100600600600600387e-01 1.424692903005269707e-03
8.113113113113112895e-01 7.028923541218124859e-04
8.125625625625625403e-01 2.274922140417259494e-04
8.138138138138137911e-01 1.247104319414186986e-05
8.150650650650650419e-01 6.508516597783685288e-05
8.163163163163162928e-01 3.857212016391335066e-04
8.175675675675675436e-01 9.679560986652948609e-04
8.188188188188187944e-01 1.798819140983926902e-03
8.200700700700700452e-01 2.859241512170265179e-03
8.213213213213212960e-01 4.124671220262362929e-03
8.225725725725725468e-01 5.565825045608699916e-03
8.238238238238237976e-01 7.149545042110272072e-03
8.250750750750750484e-01 8.839725153715505268e-03
8.263263263263262992e-01 1.059827364912344430e-02
8.275775775775775500e-01 1.238607909121591626e-02
8.288288288288288008e-01 1.416395106901073217e-02
8.300800800800800516e-01 1.589351147256606173e-02
8.313313313313313024e-01 1.753801720475916398e-02
8.325825825825825532e-01 1.906310044424128908e-02
8.338338338338338041e-01 2.043741751263187731e-02
8.350850850850850549e-01 2.163320175773780774e-02
8.363363363363363057e-01 2.262671944529747250e-02
8.375875875875875565e-01 2.339863035535525576e-02
8.388388388388388073e-01 2.393425659510635753e-02
8.400900900900900581e-01 2.422376412968768600e-02
8.413413413413413089e-01 2.426226181213947744e-02
8.425925925925925597e-01 2.404982241656108966e-02
8.438438438438438105e-01 2.359142951790900444e-02
8.450950950950950613e-01 2.289685319872776861e-02
8.463463463463463121e-01 2.198045667439784204e-02
8.475975975975975629e-01 2.086093517866991973e-02
8.488488488488488137e-01 1.956098798482823475e-02
8.501001001001000645e-01 1.810692437279602315e-02
8.513513513513513153e-01 1.652820477422648621e-02
8.526026026026025662e-01 1.485691928296280218e-02
8.538538538538538170e-01 1.312720721008961942e-02
8.551051051051050678e-01 1.137462334594916899e-02
8.563563563563563186e-01 9.635458970481670243e-03
8.576076076076075694e-01 7.946028283633400566e-03
8.588588588588588202e-01 6.341933621375507590e-03
8.601101101101100710e-01 4.857325359180443211e-03
8.613613613613613218e-01 3.524174545637200930e-03
8.626126126126125726e-01 2.371577819480660560e-03
8.638638638638638234e-01 1.425114835418397549e-03
8.651151151151150742e-01 7.062780998556189615e-04
8.663663663663663250e-01 2.319937104805270579e-04
8.676176176176175758e-01 1.424900420527718918e-05
8.688688688688688266e-01 5.983964052696795315e-05
8.701201201201200774e-01 3.702443667206109512e-04
8.713713713713713283e-01 9.416308883892758217e-04
8.726226226226225791e-01 1.764991217327602138e-03
8.738738738738738299e-01 2.826399924228616654e-03
8.751251251251250807e-01 4.107384211518695302e-03
8.763763763763763315e-01 5.585390924299001025e-03
8.776276276276275823e-01 7.234332749765241648e-03
8.788788788788788331e-01 9.025194047244106468e-03
8.801301301301300839e-01 1.092667604026615821e-02
8.813813813813813347e-01 1.290586143919474765e-02
8.826326326326325855e-01 1.492887982326695194e-02
8.838838838838838363e-01 1.696155711410538003e-02
8.851351351351350871e-01 1.897003500512496610e-02
8.863863863863863379e-01 2.092134904844838300e-02
8.876376376376375887e-01 2.278395702810104284e-02
8.888888888888888395e-01 2.452821207591071931e-02
8.901401401401400904e-01 2.612677756142108704e-02
8.913913913913913412e-01 2.755498299747955598e-02
8.926426426426425920e-01 2.879112197955049218e-02
8.938938938938938428e-01 2.981669448917924001e-02
8.951451451451450936e-01 3.061659674425393912e-02
8.963963963963963444e-01 3.117926220185145494e-02
8.976476476476475952e-01 3.149675736473479121e-02
8.988988988988988460e-01 3.156483577483099046e-02
9.001501501501500968e-01 3.138295306897587178e-02
9.014014014014013476e-01 3.095424530007264557e-02
9.026526526526525984e-01 3.028547196674963304e-02
9.039039039039038492e-01 2.938692442046248604e-02
