# Wavelength(um) Reflectance(%)
8.250750750750750484e-01 2.257808985762932430e-02
8.263263263263262992e-01 2.247606887634154282e-02
8.275775775775775500e-01 2.228429460789287803e-02
8.288288288288288008e-01 2.200455432478897258e-02
8.300800800800800516e-01 2.163929174142517620e-02
8.313313313313313024e-01 2.119158556192132781e-02
8.325825825825825532e-01 2.066512461802870806e-02
8.338338338338338041e-01 2.006417969590395048e-02
8.350850850850850549e-01 1.939357214308063890e-02
8.363363363363363057e-01 1.865863934452736267e-02
8.375875875875875565e-01 1.786519715971796041e-02
8.388388388388388073e-01 1.701949942141324501e-02
8.400900900900900581e-01 1.612819461143456118e-02
8.413413413413413089e-01 1.519827984896756669e-02
8.425925925925925597e-01 1.423705235254753981e-02
8.438438438438438105e-01 1.325205856731630737e-02
8.450950950950950613e-01 1.225104118369820839e-02
8.463463463463463121e-01 1.124188431141792677e-02
8.475975975975975629e-01 1.023255711272394973e-02
8.488488488488488137e-01 9.231056239580981426e-03
8.501001001001000645e-01 8.245347460136597320e-03
8.513513513513513153e-01 7.283306898560790686e-03
8.526026026026025662e-01 6.352662347946349056e-03
8.538538538538538170e-01 5.460935146931461016e-03
8.551051051051050678e-01 4.615383135653513408e-03
8.563563563563563186e-01 3.822945224308966702e-03
8.576076076076075694e-01 3.090188116831402414e-03
8.588588588588588202e-01 2.423255732098756211e-03
8.601101101101100710e-01 1.827821854948256160e-03
8.613613613613613218e-01 1.309046528732844741e-03
8.626126126126125726e-01 8.715366700936091936e-04
8.638638638638638234e-01 5.193113453047726790e-04
8.651151151151150742e-01 2.557720965338630735e-04
8.663663663663663250e-01 8.367864655083833401e-05
8.676176176176175758e-01 5.130243003397370955e-06
8.688688688688688266e-01 2.155282981110105480e-05
8.701201201201200774e-01 1.336921551873603378e-04
8.713713713713713283e-01 3.416128451012846149e-04
8.726226226226225791e-01 6.447033895643690957e-04
8.738738738738738299e-01 1.041686908911942022e-03
8.751251251251250807e-01 1.530637490149064405e-03
8.763763763763763315e-01 2.109001811229597491e-03
8.776276276276275823e-01 2.773625705456665355e-03
